SimulationName                                   Nitrogen    final    Clock.Today    AboveGroundLive.Wt   AboveGroundLive.Wterror    leaf.Live.Wt    leaf.Live.Wtleaferror    Stem.Live.Wt    stemerror    lai    laierror    interc    intercerror    AboveGroundLive.N   AboveGroundLive.Nerror    Leaf.Live.N    Leaf.Live.Nerror   Stem.Live.N    Stem.Live.Nerror    Leaf.Live.NConc    Stem.Live.NConc
()                                               ()    ()    ()    (g/m2)    (g/m2)    (g/m2)    (g/m2)    (g/m2)    (g/m2)    ()    ()    ()    ()    ()    ()    (g/m2)    (g/m2)    (g/m2)    (g/m2)    ()    ()
Ashley_Dean_2013_Irrigation__Nil_Fertiliser_0    0    0    2014-01-17    271.69    70.62    98.26    18.47    149.93    49.37    1.18    0.86    0.78    *    4.04    1.1    1.99    0.31    1.85    0.82    2.04    1.2
Ashley_Dean_2013_Irrigation__Nil_Fertiliser_0    0    0    2014-02-18    206.71    65.75    75.88    40.44    130.83    26.14    1.17    1.12    0.76    *    3.56    1.06    2.04    0.95    1.52    0.19    2.75    1.18
Ashley_Dean_2013_Irrigation__Nil_Fertiliser_0    0    0    2014-03-14    305.68    104.81    131.16    49.78    174.52    56.99    2.14    1.02    0.72    *    5.06    1.7    3.22    0.91    1.84    0.8    2.58    1.04
Ashley_Dean_2013_Irrigation__Nil_Fertiliser_0    0    0    2014-04-14    451.76    142.86    153.17    33.02    293.39    102.78    2.79    0.78    0.71    *    6.12    1.39    3.38    0.61    2.7    0.76    2.22    0.94
Ashley_Dean_2013_Irrigation__Nil_Fertiliser_0    0    1    2014-05-20    516.53    88.75    124.85    7.58    386.24    90.7    2.77    1    0.7    *    6.74    1.07    3.02    0.15    3.67    1.13    2.42    0.94
Ashley_Dean_2013_Irrigation__Nil_Fertiliser_75    75    0    2013-12-18    138.68    58.69    76.13    23.85    52.74    28.51    2.58    1.04    0.76    *    4.3    1.53    2.93    0.84    1.27    0.59    3.87    2.47
Ashley_Dean_2013_Irrigation__Nil_Fertiliser_75    75    0    2014-01-17    321.3    113.67    92.34    9.16    191.82    75.88    2.49    1.83    0.85    *    6.94    3.72    2.68    1.21    2.45    2.59    1.91    1.06
Ashley_Dean_2013_Irrigation__Nil_Fertiliser_75    75    0    2014-02-18    259.98    31.12    86.77    8.65    166.35    22.83    2.7    2.04    0.82    *    7.19    0.5    4.06    0.2    3.02    0.25    4.72    1.82
Ashley_Dean_2013_Irrigation__Nil_Fertiliser_75    75    0    2014-03-14    421.77    42.36    194.96    8.18    222.69    41.27    4.48    1.42    0.8    *    10.58    1.74    7.02    1.02    3.5    0.83    3.6    1.59
Ashley_Dean_2013_Irrigation__Nil_Fertiliser_75    75    0    2014-04-14    590.59    6.35    186.24    10.17    401.38    10.55    4.91    1.58    0.83    *    11.64    1.65    6.55    0.79    5.04    0.83    3.54    1.25
