SimulationName                      Experiment              Date            Final_harvest                   TopsGreenWt      LeafGreenWt   StemGreenWt   TopsGreenN            LeafGreenN     StemGreenN         LAI        LeafGreenNconc StemGreenNconc
Kale_Sown_3Nov06_Fert_264            Sowing_date                   2007-05-29                               1          2541.27           399       2142.26                 37.42          14.94              22.48          0         3.77      1.05
Kale_Sown_1Dec06_Fert_264            Sowing_date                   2007-01-29                               0           175.62        117.18         58.44                      *                     *              *                  *          *            *
Kale_Sown_1Dec06_Fert_264            Sowing_date                   2007-03-14                               0           995.69        362.39         633.3                     *                     *              *                  *          *            *
Kale_Sown_1Dec06_Fert_264            Sowing_date                   2007-05-29                               1          2254.73        434.22       1820.51                 36.19          15.88              20.31          0         3.67      1.12
Kale_Sown_1Oct06_Fert_nil            Sowing_by_nitrogen            2006-12-07                               0            91.82         70.47         21.35                  2.86           2.37               0.49       1.02         3.25      2.31
Kale_Sown_1Oct06_Fert_nil            Sowing_by_nitrogen            2006-12-19                               0           215.24        131.78         83.46                  3.47           2.53               0.94       1.44         1.79      1.07
Kale_Sown_1Oct06_Fert_nil            Sowing_by_nitrogen            2007-01-05                               0           264.87        140.27         124.6                  4.28           2.93               1.35       1.41         2.05       1.1
Kale_Sown_1Oct06_Fert_nil            Sowing_by_nitrogen            2007-01-18                               0           606.28        256.25        350.03                  8.81           5.05               3.76       2.93         1.89      1.09
Kale_Sown_1Oct06_Fert_nil            Sowing_by_nitrogen            2007-01-29                               0           655.25        234.64        420.61                  7.15           4.26               2.89       3.31         1.81      0.71
Kale_Sown_1Oct06_Fert_nil            Sowing_by_nitrogen            2007-02-19                               0           773.16        226.65        546.51                  9.38           5.43               3.95        2.4         2.28      0.73
Kale_Sown_1Oct06_Fert_nil            Sowing_by_nitrogen            2007-03-05                               0           808.58        217.59           591                  9.65            5.7               3.95       2.34         2.47      0.65
Kale_Sown_1Oct06_Fert_nil            Sowing_by_nitrogen            2007-03-26                               0           957.96           252        705.97                 12.04           6.42               5.61        3.4          2.6       0.8
Kale_Sown_1Oct06_Fert_nil            Sowing_by_nitrogen            2007-04-16                               0          1046.76        202.09        844.67                 13.09           6.87               6.21       2.89         3.45      0.78
Kale_Sown_1Oct06_Fert_nil            Sowing_by_nitrogen            2007-05-08                               0          1223.55        216.34       1007.21                 15.06           7.66                7.4       3.31         3.57      0.75
Kale_Sown_1Oct06_Fert_nil            Sowing_by_nitrogen            2007-06-05                               1           802.97         142.7        660.27                 13.26           5.89               7.37       2.76         4.33      1.14
Kale_Sown_1Oct06_Fert_150            Sowing_by_nitrogen            2006-12-07                               0           121.62         93.15         28.47                  4.74           3.79               0.95       1.37         4.17      3.47
Kale_Sown_1Oct06_Fert_150            Sowing_by_nitrogen            2006-12-19                               0           310.29        176.87        133.42                  7.23           5.04                2.2       1.93         2.83      1.61
Kale_Sown_1Oct06_Fert_150            Sowing_by_nitrogen            2007-01-05                               0           566.88         277.3        289.57                 16.65          11.32               5.33       3.27         4.08      1.86
Kale_Sown_1Oct06_Fert_150            Sowing_by_nitrogen            2007-01-18                               0           833.04        319.06        513.98                 18.26          10.98               7.27       4.51         3.46      1.45
Kale_Sown_1Oct06_Fert_150            Sowing_by_nitrogen            2007-01-29                               0          1077.86        347.51        730.35                 20.28          10.83               9.45       5.89         3.21      1.32
Kale_Sown_1Oct06_Fert_150            Sowing_by_nitrogen            2007-02-19                               0           1639.4        439.11       1200.29                 22.13          12.23                9.9       5.15         2.76      0.83
Kale_Sown_1Oct06_Fert_150            Sowing_by_nitrogen            2007-03-05                               0          1604.11        388.18       1215.93                 19.47          10.44               9.03       4.63         2.74      0.76
Kale_Sown_1Oct06_Fert_150            Sowing_by_nitrogen            2007-03-26                               0           1944.2        430.18       1514.02                 23.79          11.92              11.87       4.61         2.77      0.78
Kale_Sown_1Oct06_Fert_150            Sowing_by_nitrogen            2007-04-16                               0          2525.83        422.21       2103.62                 25.08          11.94              13.13       5.95         2.85      0.62
Kale_Sown_1Oct06_Fert_150            Sowing_by_nitrogen            2007-05-08                               0          2659.56        376.21       2283.35                 27.62          11.43              16.19       5.43          3.1      0.72
Kale_Sown_1Oct06_Fert_150            Sowing_by_nitrogen            2007-06-05                               1          2016.39        289.27       1727.12                  25.3          10.67              14.63        4.5         3.71      0.86
Kale_Sown_1Oct06_Fert_500            Sowing_by_nitrogen            2006-12-07                               0           123.13         89.63         33.51                  5.37           4.14               1.23       1.39         4.68      3.89
Kale_Sown_1Oct06_Fert_500            Sowing_by_nitrogen            2006-12-19                               0           451.12        236.13        214.99                  14.5            9.3                5.2       2.92         3.84      2.36
Kale_Sown_1Oct06_Fert_500            Sowing_by_nitrogen            2007-01-05                               0           708.09        326.25        381.83                 30.03          17.79              12.24       4.55          5.5      3.14
Kale_Sown_1Oct06_Fert_500            Sowing_by_nitrogen            2007-01-18                               0          1195.76        463.55        732.21                 46.47          25.12              21.35       7.45         5.44      2.97
Kale_Sown_1Oct06_Fert_500            Sowing_by_nitrogen            2007-01-29                               0          1334.77        486.99        847.78                 45.33          23.85              21.48       8.77         4.91      2.52
Kale_Sown_1Oct06_Fert_500            Sowing_by_nitrogen            2007-02-19                               0          1879.37        592.79       1286.58                 49.11          25.12              23.99       8.56         4.24      1.89
Kale_Sown_1Oct06_Fert_500            Sowing_by_nitrogen            2007-03-05                               0          2475.33        646.73        1828.6                  52.9          22.61              30.29        8.9         3.47      1.64
Kale_Sown_1Oct06_Fert_500            Sowing_by_nitrogen            2007-03-26                               0          2351.65        518.83       1832.82                 47.86          18.51              29.35       5.82         3.56      1.65
Kale_Sown_1Oct06_Fert_500            Sowing_by_nitrogen            2007-04-16                               0          2468.16        451.67        2016.5                 41.41          16.76              24.65          6          3.7      1.23
Kale_Sown_1Oct06_Fert_500            Sowing_by_nitrogen            2007-05-08                               0           2643.3         365.7        2277.6                  38.1          13.39              24.71        5.2         3.61      1.12
Kale_Sown_1Oct06_Fert_500            Sowing_by_nitrogen            2007-06-05                               1          2755.74        359.72       2396.02                 42.72          13.72                 29       4.32         3.74      1.24
Kale_Sown_1Dec06_Fert_nil            Sowing_by_nitrogen            2007-02-09                               0           383.22        190.79        192.43                 11.18           7.26               3.92       3.21         3.79      2.02
Kale_Sown_1Dec06_Fert_nil            Sowing_by_nitrogen            2007-02-19                               0           583.73        246.14        337.59                 14.29           8.72               5.57       3.45         3.47      1.64
Kale_Sown_1Dec06_Fert_nil            Sowing_by_nitrogen            2007-03-05                               0           904.89        336.39        568.51                 20.83          13.64               7.19       5.05         3.99      1.25
Kale_Sown_1Dec06_Fert_nil            Sowing_by_nitrogen            2007-03-21                               0           916.69        293.09         623.6                 19.45          10.87               8.58       5.16         3.71      1.39
Kale_Sown_1Dec06_Fert_nil            Sowing_by_nitrogen            2007-04-02                               0          1175.04        329.33        845.72                 24.85          11.81              13.04       5.59         3.55      1.58
Kale_Sown_1Dec06_Fert_nil            Sowing_by_nitrogen            2007-04-16                               0          1227.88        320.26        907.62                 22.05          11.01              11.05       4.62         3.42      1.21
Kale_Sown_1Dec06_Fert_nil            Sowing_by_nitrogen            2007-05-08                               0          1476.15        274.71       1201.43                 24.48          11.56              12.92       5.46         4.24       1.1
Kale_Sown_1Dec06_Fert_nil            Sowing_by_nitrogen            2007-06-05                               1          1419.06        256.35       1162.71                 23.32          11.04              12.29       4.51          4.3      1.06
Kale_Sown_1Dec06_Fert_150            Sowing_by_nitrogen            2007-02-09                               0           426.48         214.7        211.78                 16.41          10.23               6.18       3.75         4.77      2.97
Kale_Sown_1Dec06_Fert_150            Sowing_by_nitrogen            2007-02-19                               0           696.81        293.24        403.57                 25.12          14.76              10.36       4.09         4.96      2.55
Kale_Sown_1Dec06_Fert_150            Sowing_by_nitrogen            2007-03-05                               0           889.83        335.76        554.06                 24.94           14.1              10.84       4.42         4.22         2
Kale_Sown_1Dec06_Fert_150            Sowing_by_nitrogen            2007-03-21                               0          1007.55        352.38        655.17                 26.79          14.22              12.58       5.26         4.04      2.03
Kale_Sown_1Dec06_Fert_150            Sowing_by_nitrogen            2007-04-02                               0          1290.71         352.8        937.91                 32.87           14.7              18.17       6.89         4.15      1.99
Kale_Sown_1Dec06_Fert_150            Sowing_by_nitrogen            2007-04-16                               0          1427.35        358.84       1068.51                 33.08          14.78               18.3       5.24         4.11      1.71
Kale_Sown_1Dec06_Fert_150            Sowing_by_nitrogen            2007-05-08                               0          1782.59        369.19        1413.4                 35.14          14.87              20.27       5.86         4.02      1.44
Kale_Sown_1Dec06_Fert_150            Sowing_by_nitrogen            2007-06-05                               1          1916.61        351.47       1565.14                 33.36          14.15              19.22       5.04            4      1.25
Kale_Sown_1Dec06_Fert_500            Sowing_by_nitrogen            2007-02-09                               0           464.29        236.05        228.24                 22.55          13.54               9.01       4.27         5.73      3.99
Kale_Sown_1Dec06_Fert_500            Sowing_by_nitrogen            2007-02-19                               0           693.98        287.05        406.93                 29.07          16.29              12.78       4.35         5.69      3.19
Kale_Sown_1Dec06_Fert_500            Sowing_by_nitrogen            2007-03-05                               0          1127.65        423.87        703.79                 44.84          22.82              22.02       5.78         5.38      3.13
Kale_Sown_1Dec06_Fert_500            Sowing_by_nitrogen            2007-03-21                               0           929.31        306.17        623.13                 35.05          15.36              19.69       4.28         5.02      3.19
Kale_Sown_1Dec06_Fert_500            Sowing_by_nitrogen            2007-04-02                               0          1453.77        388.55       1065.22                 52.57          20.33              32.24        6.8         5.23      3.08
Kale_Sown_1Dec06_Fert_500            Sowing_by_nitrogen            2007-04-16                               0          1624.41        445.57       1178.84                 55.46          22.84              32.63       6.53         5.13      2.77
Kale_Sown_1Dec06_Fert_500            Sowing_by_nitrogen            2007-05-08                               0          2129.47        429.27        1700.2                 65.42          22.25              43.16       6.82         5.15      2.54
Kale_Sown_1Dec06_Fert_500            Sowing_by_nitrogen            2007-06-05                               1          1862.77         323.6       1539.18                 60.15          15.88              44.27       4.59         4.95      2.86







































































































